TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000001,AC00128,-0.9763205656365878,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,1.423196390000514,Doctor,-0.552642221900115,-0.20336697570787826,2,2024-11-04 08:08:08
TX000002,AC00455,0.2686329609123441,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,1.311032333424246,Doctor,0.2942607775305022,-0.20336697570787826,0,2024-11-04 08:09:35
TX000003,AC00019,-0.5906135777067515,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,-1.4369870526943178,Student,-0.9055184716628722,-0.20336697570787826,1,2024-11-04 08:07:04
TX000004,AC00070,-0.39050659225759154,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,-1.04441285467738,Student,-1.3430850213686911,-0.20336697570787826,0,2024-11-04 08:09:06
TX000006,AC00393,-0.7079757574565252,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,-1.4930690809824516,Student,0.7318273272363212,-0.20336697570787826,1,2024-11-04 08:06:36
TX000007,AC00199,-1.0004186581979795,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,-0.4275105435079065,Doctor,0.2660306775494817,-0.20336697570787826,0,2024-11-04 08:10:09
TX000008,AC00069,-0.43547136411251364,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,1.2549503051361122,Retired,2.4115182761070453,-0.20336697570787826,2,2024-11-04 08:10:55
TX000009,AC00135,-0.6595733119123889,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,0.3576378525259688,Engineer,-0.4820669719475636,-0.20336697570787826,0,2024-11-04 08:11:14
TX000010,AC00385,1.7802468355336234,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,0.5819659656785047,Doctor,-0.002155272270213815,-0.20336697570787826,1,2024-11-04 08:06:32
TX000011,AC00150,-0.9636355497233873,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,0.41371988081410277,Engineer,-0.8631733216913414,-0.20336697570787826,0,2024-11-04 08:06:45
TX000012,AC00459,-0.371530633493129,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,-1.3248229961180498,Student,0.7459423772268314,-0.20336697570787826,1,2024-11-04 08:07:12
TX000013,AC00392,0.6752410048726026,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,-1.156576911253648,Student,-0.1291907221848064,-0.20336697570787826,1,2024-11-04 08:08:38
TX000014,AC00264,1.6626783953624968,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,-1.04441285467738,Student,0.040189877701317045,-0.20336697570787826,1,2024-11-04 08:07:06
TX000015,AC00085,-0.4507002585557326,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,-1.4930690809824516,Student,0.19545542759693021,-0.20336697570787826,1,2024-11-04 08:10:09
TX000016,AC00270,0.5753078307271451,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,-0.4835925717960405,Engineer,0.12488017764437878,-0.20336697570787826,2,2024-11-04 08:12:19
TX000017,AC00317,0.8859016485476503,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,-1.4369870526943178,Student,0.5342166273691771,-0.20336697570787826,1,2024-11-04 08:07:35
TX000018,AC00359,0.6697751037067521,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,-0.31534648693163864,Engineer,1.606960426647959,-0.20336697570787826,2,2024-11-04 08:11:51
TX000019,AC00242,-0.9605416434030944,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,0.8062940788310404,Retired,-0.19976597213735783,-0.20336697570787826,0,2024-11-04 08:12:01
TX000020,AC00285,-0.7790324726125832,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,-1.4930690809824516,Student,0.6894821772647903,-0.20336697570787826,2,2024-11-04 08:09:20
TX000021,AC00002,-0.8208345846734283,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,1.479278418288648,Retired,-1.1595893714920573,-0.20336697570787826,2,2024-11-04 08:09:24
TX000022,AC00014,-0.729908115593712,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,-0.3714285152197726,Doctor,-0.3832616220139916,-0.20336697570787826,0,2024-11-04 08:08:13
TX000024,AC00453,0.16412768076023154,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,-1.268740967829916,Student,0.3083758275210125,3.2563022923106084,1,2024-11-04 08:07:04
TX000025,AC00241,-0.5244383591893778,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,-1.3248229961180498,Student,-0.3409164720424607,-0.20336697570787826,1,2024-11-04 08:07:09
TX000026,AC00041,-0.9990092119854016,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,1.1427862485598441,Retired,2.199792526249391,-0.20336697570787826,2,2024-11-04 08:09:44
TX000027,AC00441,-0.1758926238399474,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,-1.212658939541782,Student,0.5342166273691771,6.715971560329095,1,2024-11-04 08:11:38
TX000028,AC00057,-0.8861503847684986,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,-0.4275105435079065,Engineer,-0.355031522032971,-0.20336697570787826,2,2024-11-04 08:11:59
TX000029,AC00390,-0.5866258762272631,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,-0.034936345490968856,Doctor,1.0847035769990783,-0.20336697570787826,1,2024-11-04 08:11:22
TX000030,AC00313,-0.8316632567944531,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,-0.9883308263892461,Student,2.298597876182963,-0.20336697570787826,1,2024-11-04 08:08:30
TX000031,AC00367,-0.9274368457759614,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,0.8062940788310404,Doctor,-1.4136602713212425,-0.20336697570787826,0,2024-11-04 08:09:17
TX000032,AC00291,-0.8215221194112711,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,-0.8761667698129781,Doctor,1.9316065764296957,-0.20336697570787826,0,2024-11-04 08:06:58
TX000033,AC00060,0.33810834617136354,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,0.24547379594970092,Engineer,0.6753671272742799,3.2563022923106084,0,2024-11-04 08:11:13
TX000034,AC00359,1.992866953211523,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,-1.268740967829916,Student,0.4212962274450948,-0.20336697570787826,1,2024-11-04 08:07:50
